category,filename,path,observed_label
Færdighedsregning,1 Matematik Frdighedsregning_Maj 2015_DA.pdf,Færdighedsregning/1 Matematik Frdighedsregning_Maj 2015_DA.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,15 Frdighedsprve januar 2016 Dk.pdf,Færdighedsregning/15 Frdighedsprve januar 2016 Dk.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,5 Matematik Frdighedsregning_Sygeprve AUG15.pdf,Færdighedsregning/5 Matematik Frdighedsregning_Sygeprve AUG15.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,9 Frdighedsprve december 2015 Dk.pdf,Færdighedsregning/9 Frdighedsprve december 2015 Dk.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,Frdighedsprve  maj 17.pdf,Færdighedsregning/Frdighedsprve  maj 17.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,Frdighedsprve dk 19 maj 2016.pdf,Færdighedsregning/Frdighedsprve dk 19 maj 2016.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,Frdighedsregning august 2016 dk.pdf,Færdighedsregning/Frdighedsregning august 2016 dk.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,Mar frdighed dec 16.pdf,Færdighedsregning/Mar frdighed dec 16.pdf,AEU-2; Piareersarfik/Majoriaq
Færdighedsregning,Mat frdighed jan 17.pdf,Færdighedsregning/Mat frdighed jan 17.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,11 Problemregning december 2015 Dk.pdf,Problemregning/11 Problemregning december 2015 Dk.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,17 Problemregning sygest januar 2016 dk.pdf,Problemregning/17 Problemregning sygest januar 2016 dk.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,3 Matematik Problemregning_Maj 15_DA.pdf,Problemregning/3 Matematik Problemregning_Maj 15_DA.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,7 Matematik Problemregning_Sygeprve AUG15.pdf,Problemregning/7 Matematik Problemregning_Sygeprve AUG15.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,Mat problem dec 16.pdf,Problemregning/Mat problem dec 16.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,Mat problem jan 17.pdf,Problemregning/Mat problem jan 17.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,Problemregning august 2016 dk.pdf,Problemregning/Problemregning august 2016 dk.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,Problemregning dk 19 maj 2016.pdf,Problemregning/Problemregning dk 19 maj 2016.pdf,AEU-2; Piareersarfik/Majoriaq
Problemregning,Problemregning maj 17.pdf,Problemregning/Problemregning maj 17.pdf,AEU-2; Piareersarfik/Majoriaq
